wdpa_id,name,designation,desig_type,no_take,iucn_cat,iso3
555540558,Isola di Pantelleria e area marina circostante,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540524,Isole Tremiti,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540569,Arcipelago delle Eolie - area marina e terrestre,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540555,Arcipelago delle Egadi - area marina e terrestre,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540570,Arcipelago delle Pelagie - area marina e terrestre,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540587,"Capo Figari, Cala Sabina, Punta Canigione e Isola Figarolo",Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555540589,Capo Caccia,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ITA
555546022,Tramo Litoral Deba-Zumaia,Protected Landscape,National,Not Reported,V,ESP
555547183,Golfe Du Lion,Marine Nature Park,National,Not Reported,V,FRA
555546307,Fortifikazzjonijiet tal-Port,Area of High Landscape Value,National,Not Reported,V,MLT
555547501,Archipel Des Embiez - Six Fours,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Reported,Not Assigned,FRA
555547504,Penisola Del Sinis - Isola Mal Di Ventre,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Reported,Not Assigned,ITA
555547502,Cote Bleue,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Reported,Not Assigned,FRA
555547505,Capo Carbonara,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Part,Not Assigned,ITA
555546266,Żona fil-Baħar bejn Il-Ponta ta’ San Dimitri (Għawdex) u Il-Qaliet,Special Areas of Conservation - International Importance,National,Not Reported,IV,MLT
555547508,Natural Reserve of Bouches de Bonifacio,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Reported,Not Assigned,FRA
555548901,Cabo de Gata-Níjar,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555548999,Estrecho,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555549040,Cap de Creus,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555549036,Costes del Garraf,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555549044,Litoral del Baix Empordà,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555549121,Acantilados de Maro-Cerro Gordo,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555549096,Cap de Barbaria,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555552487,Reserva Marina de Cabo de Palos-Islas Hormigas,Marine Reserve,National,Not Reported,VI,ESP
555552484,Reserva Marina de la Isla de Tabarca,Marine Reserve,National,Not Reported,VI,ESP
555548931,Arxipèlag de Cabrera,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555548998,Ría de Ribadesella-Ría de Tinamayor,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555552486,Reserva Marina de Cabo de Gata-Níjar,Marine Reserve,National,Not Reported,VI,ESP
555552489,Reserva Marina de Masía Blanca,Marine Reserve,National,Not Reported,VI,ESP
555556920,Au droit de l'étang d'Hourtin-Carcans,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555549042,Massís de les Cadiretes,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,ESP
555557117,Panache de la Gironde,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555557118,Panache de la Gironde et plateau rocheux de Cordouan,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555556956,Côte Basque rocheuse et extension au Large,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555556926,Bassin d'Arcachon et Cap Ferret,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555557122,Pertuis charentais,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555557123,Pertuis charentais - Rochebonne,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555557129,Portion du littoral sableux de la côte Aquitaine,Marine Protected Area (OSPAR),Regional,Not Reported,Not Reported,FRA
555562410,Tamarit-Punta de la Móra-Costes del Tarragonès,Protection Plan,National,Not Reported,Not Assigned,ESP
555561999,Bassin D\'Arcachon,Marine Nature Park,National,Not Reported,V,FRA
555577752,Lastovsko otočje,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,HRV
555559581,Calanques [Aire D\'Adhésion],National Park - Buffer zone/Area of adhesion,National,Not Reported,V,FRA
555578591,Podmorje otoka Suska,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555577749,NP Kornati i PP Telašćica,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,HRV
555559566,Port-Cros [Aire D\'Adhésion],National Park - Buffer zone/Area of adhesion,National,Not Reported,V,FRA
555578661,Pakleni otoci,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578638,Z. obala Dugog otoka,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578073,Cap Enderrocat i cap Blanc,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,ESP
555578579,Vrsarski otoci,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555561929,Cap Corse Et Agriate,Marine Nature Park,National,Not Reported,V,FRA
555578662,JI strana o. Visa,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555577753,Pučinski otoci,Special Protection Area (Birds Directive),Regional,Not Reported,Not Reported,HRV
555578665,Brusnik i Svetac,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578691,Brač - podmorje,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578663,Otok Vis - podmorje,Site of Community Importance (Habitats Directive),Regional,Not Reported,Not Reported,HRV
555578065,Cabo Busto-Luanco,Special Areas of Conservation (Habitats Directive),Regional,Not Reported,Not Reported,ESP
